FoodName,Barcode,Calories,Food_Id,FoodType
­´ªáÂæ,22312417440,24,,
­»ÝÏÂæ,22312417441,522,,
³Â±CÂæ,22312417442,185,,
½¼Âæ,22312417443,99,,
ªk¦¡¥¤¶pÂæ,22312417444,596,,
¥©§J¤OÂæ(²GÅé),22312417445,272,,
¯ó²ùªGÂæ,22312417446,269,,
¸²µåªGÂæ,22312417447,258,,
®áß¸ªGÂæ,22312417448,225,,
¥ÕªÛ³ÂÄÑ¥]Âæ,22312417449,665,,
¶ÂªÛ³ÂÄÑ¥]Âæ,22312417450,653,,
ªá¥ÍÂæ,22312417451,635,,
¬v½µÄÑ¥]Âæ,22312417452,273,,
ªk¦¡­»»[Âæ,22312417453,790,,
²GÅé¥¤ºë,22312417454,262,,
¥¤ºë¯»,22312417455,544,,
¥¤ºë¯»(§C¯×),22312417456,450,,
¶À¯Ï¤ô,22312417457,14,,
¶À¯Ï¤ù,22312417458,258,,
·¦¼ß,22312417459,207,,
¬µ±Æ¯»,22312417460,340,,
¬µÂû¯»,22312417461,320,,
»]¦×¯»(¤­­»),22312417462,345,,
¼öª¯¯»,22312417463,352,,
ÄÑ¥]¯»,22312417464,365,,
»Ã¥À¯»,22312417465,304,,
§NÂÃ¹çªi¦~¿|,22312417466,218,,
§NÂÃ²¢¦~¿|,22312417467,241,,
§NÂÃ¼s¦¡¨¡ÀYã_,22312417468,107,,
§NÂÃ¼s¦¡ÅÚ½³¿|,22312417469,109,,
¥]À`²¢³Âò­(¬õ¨§),22312417470,325,,
ÄÐ³Âò­,22312417471,245,,
¨¡¥J»æ,22312417472,347,,
¤ë»æ(´Çªd),22312417473,413,,
ºñ¨§¥Y,22312417474,386,,
¿»Á¦»æ,22312417475,327,,
¨®½ü»æ(¬õ¨§),22312417476,174,,
¨®½ü»æ(µæ²ã),22312417477,176,,
¤Ó¶§»æ,22312417478,459,,
¤è¶ô¶p,22312417479,508,,
¤û¦Þ»æ,22312417480,411,,
§N­á¨¡ÀY¶p,22312417481,212,,
³J¶À¶p,22312417482,457,,
»ñ±ù¶p,22312417483,481,,
ÅÚ½³¶p,22312417484,421,,
»ñ²´¿|,22312417485,377,,
¦Ì?,22312417486,441,,
¥i¹|,22312417487,448,,
ªwªÜ(¥©§J¤O),22312417488,585,,
§N­á°¨©Ô¿|,22312417489,317,,
³J¶ð,22312417490,373,,
³J¶ð(¸²¦¡),22312417491,373,,
¨Å¹T³J¿|(¶ê§Î),22312417492,281,,
®üºø³J¿|(¶ê§Î),22312417493,339,,
´£©Ô¦ÌÄ¬(¶ê§Î),22312417494,327,,
¸Á»e³J¿|(­ì¨ý),22312417495,362,,
¸Á»e³J¿|(¥©§J¤O),22312417496,340,,
¸Á»e³J¿|(°_¥q),22312417497,339,,
»ÉÆr¿N,22312417498,328,,
ÃP»æ,22312417499,254,,
¤g¥q,22312417500,283,,
¤g¥q(§t¥þ½\¯»),22312417501,283,,
¥¤¶pÄÑ¥],22312417502,372,,
¦×ÃPÄÑ¥],22312417503,423,,
»e¿}²¢²¢°é(ªi/¼¯³ö),22312417504,395,,
¿}²É²¢²¢°é(ªo¬µ),22312417505,397,,
µÔÅÚÄÑ¥],22312417506,387,,
º~³ù¥],22312417507,316,,
À\¥],22312417508,361,,
¥P¯ó­á,22312417509,19,,
ÂA¥¤¥¬¤B,22312417510,110,,
¯N¥¬¤B,22312417511,126,,
¶À¥¬¤B,22312417512,110,,
¥©§J¤O¦B²N²O,22312417513,184,,
­»¯ó¦B²N²O,22312417514,182,,
¦ÏÃ¼,22312417515,283,,
¨§ªá(ªá¥Í),22312417516,58,,
©@°Ø­á,22312417517,74,,
ªG­á,22312417518,90,,
ªá¥Í¤¯´ö,22312417519,105,,
§N­á°¨¿á±ø,22312417520,186,,
­ì¨ý·R¥É­á,22312417521,1,,
ÂfÂc·R¥É­á,22312417522,52,,
ªo¬µ²æ¤ô¥ÌÁ¦,22312417523,475,,
§¨¤ß»æ°®(¯ó²ù),22312417524,496,,
¨F¨ä°¨,22312417525,484,,
¬v¨¡¤ù,22312417526,570,,
³J±²(ªÛ³Â),22312417527,547,,
³·»æ,22312417528,485,,
³½¶p,22312417529,585,,
·Î»æ,22312417530,435,,
Àç¾i¤fÂ³,22312417531,419,,
Ä¬¥´»æ°®(½­µæ),22312417532,506,,
½¬ÃÂ¿},22312417533,395,,
¤û¥¤¥©§J¤O,22312417534,550,,
ªá¥Í¤û¥¤¥©§J¤O,22312417535,485,,
ºdªG¤û¥¤¥©§J¤O,22312417536,581,,
¿}¦ç¤û¥¤¥©§J¤O,22312417537,483,,
¥Õ¥©§J¤O,22312417538,568,,
¶Â¥©§J¤O(85%),22312417539,585,,
¥ÕªÛ³Â¿},22312417540,512,,
¶ÂªÛ³Â¿},22312417541,516,,
ªá¥Í¿},22312417542,556,,
ªá¥Í°^¿},22312417543,504,,
¤ûªî¿},22312417544,470,,
®Ö´Ç¿|,22312417545,422,,
¤ôªG³n¿},22312417546,407,,
¤ôªGQQ³n¿},22312417547,342,,
ªJªI¿},22312417548,394,,
­W¯ù¿},22312417549,396,,
Á¤¿},22312417550,357,,
¥Ì¯Ç¨§,22312417551,317,,
¬õ¨§²y,22312417552,338,,
ºñ¨§²y,22312417553,333,,
¤Ó¦m¿},22312417554,438,,
¤û¥¤³n¿},22312417555,427,,
¥©§J¤O¤û¥¤³n¿},22312417556,422,,
¨Å»Ä²y,22312417557,451,,
¦Ï¨Å¤ù,22312417558,383,,
¥©§J¤O§¨¤ß¿},22312417559,403,,
´Öªá¿},22312417560,332,,
ºû¥Í¯ÀC¤f§t¿õ(ÂfÂc),22312417561,399,,
»Ã¥Àµß©CÄZ¿õ,22312417562,372,,
¥ÌÁ¦»eÀ^,22312417563,339,,
¨~ªG«C,22312417564,216,,
¨~ªG°®,22312417565,361,,
¸²µå°®,22312417566,326,,
¥¬¤B¯»,22312417567,414,,
¦B²N²O¯»(­»¯ó),22312417568,430,,
¨§¤z¤B(¤­­»),22312417569,377,,
¨§¤z¤ù(¨F¯ù),22312417570,454,,
°_¶p¤ù,22312417571,401,,
¼sªFµ°,22312417572,88,,
§N­á¤õ»Lª£¶º,22312417573,185,,
§N­á½¼¤¯ª£¶º,22312417574,134,,
Äz¦Ì¶ºÄ{,22312417575,333,,
¦×ºê,22312417576,234,,
§N­áµ©¥J¦Ì¿|,22312417577,211,,
µ©¥J¦Ì¿|,22312417578,244,,
ª£ªO±ø,22312417579,147,,
ªwÄÑ(¤û¦×¤f¨ý),22312417580,472,,
ªwÄÑ(ÂA½¼¤f¨ý),22312417581,481,,
¾á¥JÄÑ,22312417582,119,,
§N­á¤e¿N¥],22312417583,261,,
§N­á¤ô´¹¥],22312417584,208,,
¤ô´¹»å,22312417585,189,,
§N­á¤û¦×¤ô»å,22312417586,218,,
§N­á½Þ¦×¤ô»å,22312417587,206,,
§N­á½Þ¦×­´µæ¤ô»å,22312417588,225,,
§N­á½Þ¦×ÃÉ¶À¤ô»å,22312417589,221,,
§N­á­»Û£Âû¦×¤ô»å,22312417590,216,,
§N­á¯À­¹¤ô»å,22312417591,169,,
§N­áÂC³½¤ô»å,22312417592,193,,
§N­á½Þ¦×¼ô¤ô»å,22312417593,245,,
§N­á¯À­¹¼ô¤ô»å,22312417594,204,,
§N­á»ÄµæÚ`¦×¥]¤l,22312417595,297,,
§N­á¨¡ªd¥],22312417596,257,,
§N­á¨§¨F¥],22312417597,239,,
§N­áªÛ³Â¥],22312417598,351,,
§N­á½¬»T¥],22312417599,288,,
§N­á¤e¿N¥]¤l,22312417600,274,,
§N­á¤û¦×¥]¤l,22312417601,265,,
§N­á½Þ¦×¥]¤l,22312417602,269,,
§N­á½Þ¦×´ö¥],22312417603,248,,
¤pÅ¢¥],22312417604,239,,
§N­á¯Àµæ¥]¤l,22312417605,225,,
¦Ëµ«¥],22312417606,203,,
§N­á¥i¼Ö»æ(¥¤¥Ä),22312417607,112,,
½Þ¦å¿|,22312417608,192,,
Àn¦å¿|,22312417609,190,,
¦×¶ê,22312417610,135,,
²M»]½¼¤¯¦×¶ê,22312417611,149,,
§N­á©ÜÂÄ(¶Â­J´Ô¤õ»L),22312417612,206,,
ªo±ø,22312417613,560,,
§N­á¬K±²,22312417614,266,,
§N­á¬Ã¯]¤Y,22312417615,220,,
­´µæ²°¤l,22312417616,210,,
²¢°sÆC,22312417617,162,,
µµ¦Ì°sÆC,22312417618,153,,
³H¥J·Î,22312417619,194,,
´Ã§÷ªO,22312417620,261,,
§N­áªÛ³Â´ö¶ê,22312417621,343,,
§N­áªá¥Í´ö¶ê,22312417622,343,,
§N­á½Þ¦×´ö¶ê,22312417623,284,,
³J»æ¥Ö,22312417624,228,,
§N­á½µªo»æ,22312417625,245,,
¿N»æ,22312417626,320,,
¤j»æ¥]¤p»æ(¬õ¨§),22312417627,375,,
¤ô·Î¥],22312417628,163,,
¤û¦×À`»æ,22312417629,222,,
½Þ¦×À`»æ,22312417630,324,,
§N­á¿N½æ,22312417631,183,,
§N­á¥Vµæ½¼¤¯À_¶»,22312417632,177,,
§N­á½Þ¦×À_¶»,22312417633,222,,
§N­áµæ¦×À_¶»,22312417634,238,,
·Å¦{À_¶»,22312417635,141,,
½Þ¦×Áç¶K,22312417636,227,,
§N­á¥ÕÄCÀY,22312417637,274,,
¥ÕÄCÀY,22312417638,246,,
¨¡ÀYÄCÀY,22312417639,150,,
ªá±²,22312417640,224,,
§NÂÃ°íªGÄCÀY,22312417641,296,,
¶Â¿}ÄCÀY,22312417642,230,,
§N­á»Èµ·¨÷(¥¤¶À),22312417643,279,,
ªá¥ÍÄÑµ¬ÅøÀY,22312417644,219,,
­»Û£ÄÑµ¬ÅøÀY,22312417645,191,,
¥ÌÁ¦±ø,22312417646,181,,
°¨¹aÁ¦±ø,22312417647,146,,
Áú¦¡ªwµæ,22312417648,30,,
ªá¥ÊÅøÀY,22312417649,86,,
§N­á¬v½µ°é,22312417650,275,,
¦úµN¶Â¨§,22312417651,257,,
¨§¤zµ·,22312417652,165,,
¤­­»¨§¤z,22312417653,188,,
¤p¤è¨§¤z,22312417654,155,,
¶Â¨§¤z,22312417655,181,,
¨§»G¥Ö,22312417656,197,,
¤é¦¡¬µ¨§¥Ö,22312417657,383,,
¨§³a,22312417658,215,,
¨§´Ç,22312417659,420,,
¦Ê­¶¨§»G,22312417660,215,,
¶Ç²Î¨§»G,22312417661,87,,
­á¨§»G,22312417662,124,,
¤p¤T¨¤ªo¨§»G,22312417663,137,,
¹à¨§»G,22312417664,50,,
Âû³J¨§»G,22312417665,78,,
³Âªo»¶»G¨Å,22312417666,95,,
ªo¨§»G¯»µ·(ªüµ¹),22312417667,143,,
§N­á¯ÀÂû¶ô,22312417668,203,,
¤e¿N¦×,22312417669,253,,
¤Á¤ù¤õ»L(¤û¦×),22312417670,121,,
¤Á¤ù¤õ»L(½Þ¦×),22312417671,144,,
¤Á¤ù¤õ»L(Âû¦×),22312417672,142,,
"±øª¬¤õ»L(¤û¦×,¶Â­J´Ô)",22312417673,113,,
±øª¬¤õ»L(½Þ¦×),22312417674,144,,
Âæ¨y¤l,22312417675,134,,
§N­á°^¤Y,22312417676,238,,
§N­áÂû¦×¤Y,22312417677,202,,
¤ùª¬¦×°®(¤û¦×),22312417678,329,,
"¤ùª¬¦×°®(¤û¦×,»¶¨ý)",22312417679,323,,
¤ùª¬¦×°®(½Þ¦×),22312417680,328,,
±øª¬¦×°®(½Þ¦×),22312417681,338,,
½Þ¦×²ã,22312417682,441,,
½Þ¦×¶p,22312417683,550,,
Âû¦×¶p,22312417684,442,,
¦×Ã¼,22312417685,245,,
§N­á©BÎL¦×,22312417686,181,,
¤û¦×­»¸z,22312417687,298,,
­»¸z,22312417688,349,,
­»¸z(»[¨ý),22312417689,388,,
ã¯ãÀ­»¸z(»[¨ý),22312417690,289,,
¤p¥©­»¸z,22312417691,369,,
Âû¦×­»¸z(¤j),22312417692,283,,
Âû¦×­»¸z(¤p),22312417693,459,,
°ö®Ú,22312417694,365,,
¤û¦×º~³ù¦×,22312417695,246,,
¼öª¯,22312417696,267,,
¼w°ê­»¸z,22312417697,272,,
½Þ¸}­á,22312417698,145,,
§N­áÂû¶ô,22312417699,229,,
Ã¾¦×(¤­ªá¦×),22312417700,529,,
Ã¾¦×(»L¦×),22312417701,409,,
§N­á¤z¨©¶p,22312417702,144,,
¤Ñ°üÃ¹,22312417703,175,,
§N­áªáªK¤Y,22312417704,162,,
§N­áªáªK±Æ,22312417705,185,,
§N­áªáªK¶ô,22312417706,179,,
§N­áªáªK¼ß,22312417707,223,,
§N­áªáªKÃ¼,22312417708,126,,
§N­á³H±²,22312417709,181,,
§N­áªë¥Ø³½¤Y,22312417710,203,,
§N­á¤åµð¤Y,22312417711,211,,
§N­áºX³½¤Y,22312417712,158,,
§N­á÷«³½¤Y,22312417713,87,,
§N­á³½±²,22312417714,125,,
§N­áÂC±Æ,22312417715,143,,
³½¦×²ã,22312417716,104,,
ÄJ³½¦×²ã,22312417717,685,,
³½¦×ÃP,22312417718,470,,
ºX³½ÃP,22312417719,476,,
ÂD³½ÃP,22312417720,454,,
§N­áºX³½¶ô,22312417721,178,,
§N­á½¼¤Y,22312417722,123,,
§N­á½¼±²,22312417723,153,,
§N­á½¼»æ,22312417724,123,,
§N­á¾{³½°é,22312417725,143,,
­»µ«ÂC³½ÅøÀY,22312417726,258,,
­X¥ÄÄJ³½ÅøÀY,22312417727,115,,
§N­á³½§Z¨÷,22312417728,115,,
§N­áÃÉ¨ý´Î,22312417729,116,,
§N­á¤p­»¸z,22312417730,248,,
§N­áªáªK»å,22312417731,168,,
§N­á­»Û£»å,22312417732,231,,
§N­á³J»å,22312417733,182,,
§N­á³·Á³»å,22312417734,201,,
§N­á³½»å,22312417735,277,,
§N­á½¼»å,22312417736,273,,
§N­á¿P»å,22312417737,315,,
¨Rªw¿@´ö(®üÂA),22312417738,334,,
¥É¦Ì¿@´ö½Õ²z¥],22312417739,364,,
